Designator,Mid X,Mid Y,Rotation,Layer
C1,252.3,-101.85,0.0,top
C10,195.28,-110.4,270.0,top
C11,198.28,-107.9,0.0,top
C12,221.49,-119.97,180.0,top
C13,88.49,-108.68,180.0,top
C14,88.49,-111.54,180.0,top
C15,88.97,-104.45,90.0,top
C16,92.3,-105.42,90.0,top
C17,88.49,-110.34,180.0,top
C18,88.49,-107.48,180.0,top
C19,95.9,-105.42,90.0,top
C2,252.3,-107.85,180.0,top
C20,49.1,-101.85,180.0,top
C21,102.69,-115.772,180.0,top
C22,105.69,-113.272,90.0,top
C23,49.1,-107.85,180.0,top
C24,76.73,-111.05,270.0,top
C25,177.495,-62.002,262.0,bottom
C26,201.37,-55.002,270.0,bottom
C27,220.825,-57.827,0.0,bottom
C28,237.37,-63.002,270.0,bottom
C29,173.295,-100.677,74.0,bottom
C3,211.97,-118.765,270.0,top
C30,179.664964,-78.752,262.0,bottom
C31,201.37,-72.118,270.0,bottom
C32,218.595,-77.477,270.0,bottom
C33,237.35,-79.992,270.0,bottom
C34,168.47,-84.377,74.0,bottom
C35,177.745,-117.127,74.0,bottom
C36,182.003197,-95.751672,262.0,bottom
C37,201.37,-89.136,270.0,bottom
C38,219.37,-94.47,270.0,bottom
C39,237.35,-97.01,270.0,bottom
C4,212.47,-114.95,0.0,top
C40,237.55,-125.3,105.0,bottom
C41,259.1,-125.7,120.0,bottom
C42,63.609,-74.52,270.0,bottom
C43,72.214,-60.502,270.0,bottom
C44,90.202,-55.002,270.0,bottom
C45,113.561803,-61.201671,278.0,bottom
C46,135.37,-75.427,286.0,bottom
C47,54.2,-79.992,270.0,bottom
C48,72.214,-77.452,270.0,bottom
C49,90.202,-72.118,270.0,bottom
C5,212.47,-111.92,0.0,top
C50,111.645,-77.402,278.0,bottom
C51,130.62,-91.777,286.0,bottom
C52,54.2,-97.01,270.0,bottom
C53,72.214,-94.47,270.0,bottom
C54,90.202,-89.136,270.0,bottom
C55,109.47,-94.252,278.0,bottom
C56,125.795,-107.977,270.0,bottom
C57,63.65,-125.12,255.0,bottom
C58,46.71,-133.8,240.0,bottom
C59,199.97,-114.736,270.0,top
C6,209.37,-118.24,270.0,top
C60,205.07,-118.24,270.0,top
C61,204.82,-105.42,90.0,top
C62,212.46,-116.3,0.0,top
C63,102.2,-108.936,90.0,top
C64,96.25,-118.26,270.0,top
C65,91.99,-118.26,270.0,top
C66,100.9,-108.936,90.0,top
C67,247.85,-121.545,180.0,bottom
C68,183.895,-114.865,180.0,bottom
C69,169.04,-67.68051,0.0,bottom
C7,209.0,-105.42,90.0,top
C70,233.57,-65.098,180.0,bottom
C71,58.25,-126.8,180.0,bottom
C72,121.954,-110.098,180.0,bottom
C73,130.645,-73.402,180.0,bottom
C74,67.3,-60.8,180.0,bottom
C75,252.4,-99.15,270.0,top
C76,48.98,-99.19,270.0,top
C8,212.47,-113.12,0.0,top
C9,198.67,-114.736,270.0,top
D1,252.85,-82.672,270.0,top
D10,58.208,-124.097245,180.0,bottom
D2,48.1,-82.672,270.0,top
D3,169.04,-70.68051,0.0,bottom
D4,233.57,-62.098,180.0,bottom
D5,247.85,-118.545,180.0,bottom
D6,183.895,-111.865,180.0,bottom
D7,130.53,-70.412,180.0,bottom
D8,121.954,-107.098,180.0,bottom
D9,67.3,-57.8,180.0,bottom
F1,255.61,-92.36,270.0,top
F2,44.88,-92.36,270.0,top
J1,260.35,-82.672,180.0,top
J3,265.25,-103.0,90.0,top
J4,40.6,-82.672,180.0,top
